FULL,Year,PG,ID,ID2,CAT_ORG,CAT_MOD,FULL.1,Position,Nation,Name,Addy_Clean,Address,Nationality - Katherine Vote,Nationality - Zehra Vote,Nationality - Jessica,Nationality Final,api_result1,api_result2,nationality_api,nationality_ipums,Origin_api,Gender - Katherine Vote,Gender - Zehra Vote,Gender - Jessica,Gender - Final,Gender_api,gender_combined,gender_final,Notes,Arrival / I Record,CORNER,Address2,ST combi,ST Name,ST Name 2,ST Name 3,ST Name 4,ST Name 5,ST Name 6,Last,First,probability1,probability12,if error,if>40,final_api,final_ancestry,country_match,region_match,Final Result,,,
"Cafe Savarin Co, 120 Bway",1898_TrowBusMan,953,324,1898_TrowBusMan_324,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Cafe Savarin Co, 120 Bway",17,,Cafe Savarin Co ,120 Broadway,120 Bway,Russian,,,Russian,Irish,English,cannot use api,cannot use api,Northern Europe,,,,,f,cannot use api,cannot use api,,,N,120,Broadway,Bway,,,,,,Jansen,Albert,0.715278855,0.780323915,,,FALSE,German,,,German,,,
"Courser Daniel C, 119 5th av & 1 E 19th",1898_TrowBusMan,953,425,1898_TrowBusMan_425,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Courser Daniel C, 119 5th av & 1 E 19th",18,,Courser Daniel C ,1 E 19th ,119 5th av & 1 E 19th,French,,,French,Irish,Swiss,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,1,E 19th ,E,19th,,,,,Schulhof,Frances,0.466011511,0.574008151,,,FALSE,German,,,German,,,
"+ Allen Brothers, 1278, 3d av",1898_TrowBusMan,951,100,1898_TrowBusMan_100,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+ Allen Brothers, 1278, 3d av",18,,Allen Brothers ,1278 3rd av ,"1278, 3d av",English,,,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,1278,3rd av ,3rd,av,,,,,Light,Max,0.652665653,0.783598011,,,FALSE,German,,,German,,,
Archer James E. 106 W 42d,1898_TrowBusMan,951,118,1898_TrowBusMan_118,Restaurants (Marked thus + are oyster saloons.),Restaurant,Archer James E. 106 W 42d,16,,Archer James E ,106 W 42nd ,106 W 42d,English,,English,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,106,W 42nd ,W,42nd,,,,,Mack,Jacob,0.757000929,0.803769938,,,FALSE,German,,,German,,,
Barron Samuel H. 36. 156 & 298 Bway,1898_TrowBusMan,952,163,1898_TrowBusMan_163,Restaurants (Marked thus + are oyster saloons.),Restaurant,Barron Samuel H. 36. 156 & 298 Bway,17,,Barron Samuel H ,36 Broadway,36. 156 & 298 Bway,English,,Scottish,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,36,Broadway,Bway,,,,,,Nusenblatt,George,0.497974978,0.659885973,,,FALSE,German,,,German,,,
Barron Samuel H. 36. 156 & 298 Bway,1898_TrowBusMan,952,164,1898_TrowBusMan_164,Restaurants (Marked thus + are oyster saloons.),Restaurant,Barron Samuel H. 36. 156 & 298 Bway,17,,Barron Samuel H ,156 Broadway,36. 156 & 298 Bway,English,,Scottish,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,156,Broadway,Bway,,,,,,Otte,Emma,0.418963921,0.441430084,,,FALSE,German,,,German,,,
"Barry Joseph, 16 West",1898_TrowBusMan,952,168,1898_TrowBusMan_168,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Barry Joseph, 16 West",14,,Barry Joseph ,16 West st  ,16 West,English,,Ireland,English,Irish,French,undecided,Irish,Northern Europe,m,m,,m,m,m,m,,,N,16,West st  ,West,,,,,,Feldmaus,Abraham,0.42717468,0.540567663,,FALSE,FALSE,German,,,German,,,
"Barson John J. 119, 3d av",1898_TrowBusMan,952,169,1898_TrowBusMan_169,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Barson John J. 119, 3d av",15,,Barson John J ,119 3rd av ,"119, 3d av",English,,,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,119,3rd av ,3rd,av,,,,,Bernard,Rose,0.504469343,0.637236313,,FALSE,FALSE,German,,,German,,,
"Beattie James, 533 Canal",1898_TrowBusMan,952,182,1898_TrowBusMan_182,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Beattie James, 533 Canal",15,,Beattie James ,533 Canal  ,533 Canal,English,,Scottish/Irish,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,533,Canal  ,Canal,,,,,,Charlon,Pasquale,0.495063444,0.884585622,,,FALSE,German,,,German,,,
"+Bender Edward, 1356, 1st av",1898_TrowBusMan,952,191,1898_TrowBusMan_191,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+Bender Edward, 1356, 1st av",16,,Bender Edward ,1356 1st av ,"1356, 1st av",English,,English/German,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,1356,1st av ,1st,av,,,,,Steinau,Isaac,0.508316141,0.58198957,,,FALSE,German,,,German,,,
Berry Jane A. 513 W 43d,1898_TrowBusMan,952,206,1898_TrowBusMan_206,Restaurants (Marked thus + are oyster saloons.),Restaurant,Berry Jane A. 513 W 43d,14,,Berry Jane A ,513 W 43rd ,513 W 43d,English,,Irish/Scottish,English,Irish,English,English,English,Northern Europe,f,f,,f,f,f,f,,,N,513,W 43rd ,W,43rd,,,,,Cherones,George,0.467338467,0.616163731,,,FALSE,German,,,German,,,
"Carr Michael, 424 West",1898_TrowBusMan,953,347,1898_TrowBusMan_347,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Carr Michael, 424 West",14,,Carr Michael ,424 West st  ,424 West,English,,English/Scottish,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,424,West st  ,West,,,,,,Beattie,James,0.469426796,0.866356722,,,FALSE,German,,,German,,,
"Carradine & Doty, 45 W 20th",1898_TrowBusMan,953,348,1898_TrowBusMan_348,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Carradine & Doty, 45 W 20th",18,,Carradine & Doty ,45 W 20th ,45 W 20th,English,,,English,Irish,English,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,45,W 20th ,W,20th,,,,,Booras,John,0.497041506,0.653420212,,,FALSE,German,,,German,,,
"Christin George, 509 10th av",1898_TrowBusMan,953,390,1898_TrowBusMan_390,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Christin George, 509 10th av",17,,Christin George ,509 10th av ,509 10th av,English,,English,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,509,10th av ,10th,av,,,,,Domosky,Joseph,0.57697572,0.616037081,,,FALSE,German,,,German,,,
"Corbett & McGillen, 114 Pearl",1898_TrowBusMan,953,417,1898_TrowBusMan_417,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Corbett & McGillen, 114 Pearl",20,,Corbett & McGillen ,114 Pearl  ,114 Pearl,English,,,English,Irish,English,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,114,Pearl  ,Pearl,,,,,,Doscher,John,0.528997825,0.638759526,,,FALSE,German,,,German,,,
"Daniel John F, 318 10th av",1898_TrowBusMan,953,452,1898_TrowBusMan_452,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Daniel John F, 318 10th av",15,,Daniel John F ,318 10th av ,318 10th av,English,,,English,Irish,Nigerian,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,318,10th av ,10th,av,,,,,Langsam,Michael,0.50159346,0.572175136,,,FALSE,German,,,German,,,
"Danker Charles H, 503 W 23d",1898_TrowBusMan,953,453,1898_TrowBusMan_453,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Danker Charles H, 503 W 23d",18,,Danker Charles H ,503 W 23rd ,503 W 23d,English,,,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,503,W 23rd ,W,23rd,,,,,Levithan,Morris,0.444771173,0.642428869,,,FALSE,German,,,German,,,
"Dewey & Diaz, 93 3d av",1898_TrowBusMan,954,504,1898_TrowBusMan_504,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Dewey & Diaz, 93 3d av",14,,Dewey & Diaz ,93 3rd av ,93 3d av,English,,,English,Irish,English,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,93,3rd av ,3rd,av,,,,,Oswald,John,0.55334878,0.637210122,,,FALSE,German,,,German,,,
"Dillon & Butler, 925 3d av",1898_TrowBusMan,954,512,1898_TrowBusMan_512,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Dillon & Butler, 925 3d av",17,,Dillon & Butler ,925 3rd av ,925 3d av,English,,,English,Irish,English,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,925,3rd av ,3rd,av,,,,,Ott,Joseph,0.461322965,0.644576758,,FALSE,FALSE,German,,,German,,,
"Dunston & Kennelly, 761 6th av & 306 Columbus av",1898_TrowBusMan,954,561,1898_TrowBusMan_561,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Dunston & Kennelly, 761 6th av & 306 Columbus av",20,,Dunston & Kennelly ,761 6th av ,761 6th av & 306 Columbus av,English,,,English,Irish,English,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,761,6th av ,6th,av,,,,,Pechar,John,0.508257666,0.66181418,,FALSE,FALSE,German,,,German,,,
"Dunston & Kennelly, 761 6th av & 306 Columbus av",1898_TrowBusMan,954,562,1898_TrowBusMan_562,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Dunston & Kennelly, 761 6th av & 306 Columbus av",20,,Dunston & Kennelly ,306 Columbus av ,761 6th av & 306 Columbus av,English,,,English,Irish,English,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,306,Columbus av ,Columbus,av,,,,,Tolken,Charles,0.503417364,0.574705314,,,FALSE,German,,,German,,,
"Dun worth Thomas, 172 W Bway",1898_TrowBusMan,954,563,1898_TrowBusMan_563,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Dun worth Thomas, 172 W Bway",18,,Dun worth Thomas ,172 W Broadway,172 W Bway,English,,,English,Irish,Liberian,cannot use api,cannot use api,Northern Europe,m,m,,m,m,m,m,,,N,172,W Broadway,W,Bway,,,,,Gombossy,Lena,0.573437029,0.577802505,,,FALSE,German,,,German,,,
"+Fay & Kane, 69 W 125th",1898_TrowBusMan,955,626,1898_TrowBusMan_626,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+Fay & Kane, 69 W 125th",13,,Fay & Kane ,69 W 125th ,69 W 125th,English,,,English,Irish,Liberian,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,69,W 125th ,W,125th,,,,,Virillo,S,0.507910065,0.567769161,,,FALSE,German,,,German,,,
"Fries Henry, 241 Canal",1898_TrowBusMan,955,699,1898_TrowBusMan_699,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Fries Henry, 241 Canal",13,,Fries Henry ,241 Canal  ,241 Canal,English,,,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,241,Canal  ,Canal,,,,,,Jonson,Peter,0.61782946,0.820718569,,,FALSE,German,,,German,,,
"Gibson James Jr, 63 Maiden la & 87 William",1898_TrowBusMan,955,738,1898_TrowBusMan_738,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Gibson James Jr, 63 Maiden la & 87 William",17,,Gibson James Jr ,63 Maiden ln ,63 Maiden la & 87 William,English,,,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,63,Maiden ln ,Maiden,la,,,,,Acierno,Giacchino,0.949888485,0.988317301,,,FALSE,German,,,German,,,
"Gibson James Jr, 63 Maiden la & 87 William",1898_TrowBusMan,955,739,1898_TrowBusMan_739,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Gibson James Jr, 63 Maiden la & 87 William",17,,Gibson James Jr ,87 William  ,63 Maiden la & 87 William,English,,,English,Irish,English,English,English,Northern Europe,m,m,,m,m,m,m,,,N,87,William  ,William,,,,,,Alessandro,Michael,0.574551939,0.832086835,,,FALSE,German,,,German,,,
Acierno Giacchino. 209 Mulberry,1898_TrowBusMan,951,84,1898_TrowBusMan_84,Restaurants (Marked thus + are oyster saloons.),Restaurant,Acierno Giacchino. 209 Mulberry,19,,Acierno Giacchino ,209 Mulberry  ,209 Mulberry,Italian,Italian,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,209,Mulberry  ,Mulberry,,,,,,Argiro,Domenica,0.709858478,0.927310628,,,FALSE,German,,,German,,,
"Alessandro Michael, 20 Mulberry",1898_TrowBusMan,951,96,1898_TrowBusMan_96,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Alessandro Michael, 20 Mulberry",20,,Alessandro Michael ,20 Mulberry  ,20 Mulberry,Italian,Italian,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,20,Mulberry  ,Mulberry,,,,,,Bachareli,Luigi,0.949078831,0.988317301,,,FALSE,German,,,German,,,
"Argiro Domenica, 95 Park",1898_TrowBusMan,951,122,1898_TrowBusMan_122,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Argiro Domenica, 95 Park",17,,Argiro Domenica ,95 Park  ,95 Park,Italian,,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,f,f,,f,f,f,f,,,N,95,Park  ,Park,,,,,,Balestrieri,Michael,0.714249156,0.781299016,,,FALSE,German,,,German,,,
"Bachareli Luigi, 54 Spring",1898_TrowBusMan,951,133,1898_TrowBusMan_133,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Bachareli Luigi, 54 Spring",17,,Bachareli Luigi ,54 Spring  ,54 Spring,Italian,,Italian,Italian,Italian,Swiss,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,54,Spring  ,Spring,,,,,,Bernardoni,Julia,0.600354602,0.642403159,,,FALSE,German,,,German,,,
Balestrieri Michael. 248 Mott,1898_TrowBusMan,951,145,1898_TrowBusMan_145,Restaurants (Marked thus + are oyster saloons.),Restaurant,Balestrieri Michael. 248 Mott,21,,Balestrieri Michael ,248 Mott  ,248 Mott,Italian,,Italian,Italian,Italian,Swiss,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,248,Mott  ,Mott,,,,,,Bianchi,Santo,0.942413304,0.97374598,,,FALSE,German,,,German,,,
"Bernardoni Julia, 29 Mulberry",1898_TrowBusMan,952,202,1898_TrowBusMan_202,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Bernardoni Julia, 29 Mulberry",18,,Bernardoni Julia ,29 Mulberry  ,29 Mulberry,Italian,,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,f,f,,f,f,f,f,,,N,29,Mulberry  ,Mulberry,,,,,,Bianchi,Santo,0.942413304,0.97374598,,,FALSE,German,,,German,,,
Bianchi Santo. 12 Stone & 29 Bridge,1898_TrowBusMan,952,214,1898_TrowBusMan_214,Restaurants (Marked thus + are oyster saloons.),Restaurant,Bianchi Santo. 12 Stone & 29 Bridge,15,,Bianchi Santo ,12 Stone  ,12 Stone & 29 Bridge,Italian,,Italian,Italian,Italian,ID,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,12,Stone  ,Stone,,,,,,Braibanti,Antonio,0.909619916,0.933824988,,FALSE,FALSE,German,,,German,,,
Bianchi Santo. 12 Stone & 29 Bridge,1898_TrowBusMan,952,215,1898_TrowBusMan_215,Restaurants (Marked thus + are oyster saloons.),Restaurant,Bianchi Santo. 12 Stone & 29 Bridge,15,,Bianchi Santo ,29 Bridge  ,12 Stone & 29 Bridge,Italian,,Italian,Italian,Italian,ID,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,29,Bridge  ,Bridge,,,,,,Brindisi,Francesco,0.98227263,0.988317301,,,FALSE,German,,,German,,,
"Braibanti Antonio, 2207 1st av",1898_TrowBusMan,952,272,1898_TrowBusMan_272,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Braibanti Antonio, 2207 1st av",19,,Braibanti Antonio ,2207 1st av ,2207 1st av,Italian,Italian,Italian,Italian,Italian,Portugal,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,2207,1st av ,1st,av,,,,,Bruccellaria,Luigi,0.930181859,0.948753493,,,FALSE,German,,,German,,,
"Brindisi Francesco, 58 Thompson",1898_TrowBusMan,952,290,1898_TrowBusMan_290,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Brindisi Francesco, 58 Thompson",20,,Brindisi Francesco ,58 Thompson  ,58 Thompson,Italian,Italian,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,58,Thompson  ,Thompson,,,,,,Bugue,Giacomo,0.949643706,0.959058734,,,FALSE,German,,,German,,,
"Bruccellaria Luigi, 157 Bleecker",1898_TrowBusMan,953,304,1898_TrowBusMan_304,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Bruccellaria Luigi, 157 Bleecker",20,,Bruccellaria Luigi ,157 Bleecker  ,157 Bleecker,Italian,,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,157,Bleecker  ,Bleecker,,,,,,Cambria,Giuseppe,0.984566954,0.988317301,,,FALSE,German,,,German,,,
"+Bugue Giacomo, 119 1/2 Macdougal",1898_TrowBusMan,953,310,1898_TrowBusMan_310,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+Bugue Giacomo, 119 1/2 Macdougal",16,,Bugue Giacomo ,119 Macdougal  ,119 1/2 Macdougal,Italian,,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,119,Macdougal  ,Macdougal,,,,,,Cariboni,Salvador,0.500260795,0.867310508,,,FALSE,German,,,German,,,
"Cambria Giuseppe, 118 Mulberry",1898_TrowBusMan,953,331,1898_TrowBusMan_331,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Cambria Giuseppe, 118 Mulberry",18,,Cambria Giuseppe ,118 Mulberry  ,118 Mulberry,Italian,,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,118,Mulberry  ,Mulberry,,,,,,Cassinelli,&,0.882444881,0.90153639,,,FALSE,German,,,German,,,
"Cariboni Salvador, 338 E 115th",1898_TrowBusMan,953,344,1898_TrowBusMan_344,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Cariboni Salvador, 338 E 115th",19,,Cariboni Salvador ,338 E 115th ,338 E 115th,Italian,,Italian,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,338,E 115th ,E,115th,,,,,Cavezzi,Nicola,0.940021999,0.958015421,,,FALSE,German,,,German,,,
"Cassinelli & Boggio, 415 6th av",1898_TrowBusMan,953,357,1898_TrowBusMan_357,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Cassinelli & Boggio, 415 6th av",21,,Cassinelli & Boggio ,415 6th av ,415 6th av,Italian,,Irish,Italian,Italian,French,Italian,Italian,,,,,,m,undecided,undecided,,,N,415,6th av ,6th,av,,,,,Chellini,Anna,0.846522179,0.86282625,,,FALSE,German,,,German,,,
Cavezzi Nicola. 33 Oak,1898_TrowBusMan,953,360,1898_TrowBusMan_360,Restaurants (Marked thus + are oyster saloons.),Restaurant,Cavezzi Nicola. 33 Oak,16,,Cavezzi Nicola ,33 Oak  ,33 Oak,Italian,Italian,Italian,Italian,Italian,Swiss,Italian,Italian,Southern Europe,f,m,,m,f,undecided,f,,,N,33,Oak  ,Oak,,,,,,Dalmato,Vincenzo,0.943317104,0.97374598,,FALSE,FALSE,German,,,German,,,
"Chellini Anna, 9 Mulberry",1898_TrowBusMan,953,368,1898_TrowBusMan_368,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Chellini Anna, 9 Mulberry",15,,Chellini Anna ,9 Mulberry  ,9 Mulberry,Italian,,Italian,Italian,Italian,MD,Italian,Italian,Southern Europe,f,f,,f,f,f,f,,,N,9,Mulberry  ,Mulberry,,,,,,Degregori,Marco,0.948739906,0.959174658,,,FALSE,German,,,German,,,
"Dalmato Vincenzo, 122 Mott",1898_TrowBusMan,953,449,1898_TrowBusMan_449,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Dalmato Vincenzo, 122 Mott",18,,Dalmato Vincenzo ,122 Mott  ,122 Mott,Italian,,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,122,Mott  ,Mott,,,,,,Delvilani,&,0.419602045,0.448618734,,,FALSE,German,,,German,,,
"Degregori Marco, 134 Sullivan",1898_TrowBusMan,954,468,1898_TrowBusMan_468,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Degregori Marco, 134 Sullivan",17,,Degregori Marco ,134 Sullivan  ,134 Sullivan,Italian,,,Italian,Italian,Swiss,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,134,Sullivan  ,Sullivan,,,,,,DeMaria,Enrico,0.888541777,0.949908776,,,FALSE,German,,,German,,,
Delvilani & Robart. 51 W 24th,1898_TrowBusMan,954,480,1898_TrowBusMan_480,Restaurants (Marked thus + are oyster saloons.),Restaurant,Delvilani & Robart. 51 W 24th,20,,Delvilani & Robart ,51 W 24th ,51 W 24th,Italian,,,Italian,Italian,IR,Italian,Italian,,,,,,m,undecided,undecided,,,N,51,W 24th ,W,24th,,,,,De,Pasquale,0.814441952,0.862985425,,,FALSE,German,,,German,,,
"DeMaria Enrico, 148 Mulberry",1898_TrowBusMan,954,481,1898_TrowBusMan_481,Restaurants (Marked thus + are oyster saloons.),Restaurant,"DeMaria Enrico, 148 Mulberry",16,,DeMaria Enrico ,148 Mulberry  ,148 Mulberry,Italian,,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,148,Mulberry  ,Mulberry,,,,,,Di,Gristofolo,0.7672516,0.774933495,,,FALSE,German,,,German,,,
"De Pasquale Magdalena, 112 Mulberry",1898_TrowBusMan,954,495,1898_TrowBusMan_495,Restaurants (Marked thus + are oyster saloons.),Restaurant,"De Pasquale Magdalena, 112 Mulberry",23,,De Pasquale Magdalena ,112 Mulberry  ,112 Mulberry,Italian,,,Italian,Italian,Belgium,Italian,Italian,,f,f,,f,m,undecided,f,,,N,112,Mulberry  ,Mulberry,,,,,,Ditorino,Contine,0.50213266,0.564927756,,,FALSE,German,,,German,,,
"Di Gristofolo Angelo, 3 State",1898_TrowBusMan,954,511,1898_TrowBusMan_511,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Di Gristofolo Angelo, 3 State",22,,Di Gristofolo Angelo ,3 State  ,3 State,Italian,,,Italian,Italian,South Africa,Italian,Italian,Southern Europe,m,m,,m,f,undecided,m,,,N,3,State  ,State,,,,,,Esposito,Antonio,0.507097451,0.764447496,,,FALSE,German,,,German,,,
"Ditorino Contine, 240 Mulberry",1898_TrowBusMan,954,520,1898_TrowBusMan_520,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Ditorino Contine, 240 Mulberry",18,,Ditorino Contine ,240 Mulberry  ,240 Mulberry,Italian,,,Italian,Italian,French,Italian,Italian,Northern Europe,f,f,,f,m,m,f,,,N,240,Mulberry  ,Mulberry,,,,,,Flauti,Alfonso,0.699472572,0.934975779,,,FALSE,German,,,German,,,
"Esposito Antonio, 2217, 1st av",1898_TrowBusMan,954,613,1898_TrowBusMan_613,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Esposito Antonio, 2217, 1st av",18,,Esposito Antonio ,2217 1st av ,"2217, 1st av",Italian,,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,2217,1st av ,1st,av,,,,,Forlenza,Giusseppe,0.984566954,0.988317301,,,FALSE,German,,,German,,,
Flauti Alfonso. 174 Thompson,1898_TrowBusMan,955,655,1898_TrowBusMan_655,Restaurants (Marked thus + are oyster saloons.),Restaurant,Flauti Alfonso. 174 Thompson,16,,Flauti Alfonso ,174 Thompson  ,174 Thompson,Italian,,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,174,Thompson  ,Thompson,,,,,,Garbarino,Antonio,0.645318841,0.806808653,,,FALSE,German,,,German,,,
"Forlenza Giusseppe, 40 Mulberry",1898_TrowBusMan,955,667,1898_TrowBusMan_667,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Forlenza Giusseppe, 40 Mulberry",20,,Forlenza Giusseppe ,40 Mulberry  ,40 Mulberry,Italian,,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,40,Mulberry  ,Mulberry,,,,,,Gazzo,Virgil,0.503973808,0.506941757,,,FALSE,German,,,German,,,
"Garbarino Antonio, 336 Bowery",1898_TrowBusMan,955,713,1898_TrowBusMan_713,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Garbarino Antonio, 336 Bowery",19,,Garbarino Antonio ,336 Bowery  ,336 Bowery,Italian,,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,336,Bowery  ,Bowery,,,,,,Gianchetta,Giuseppe,0.984566954,0.988317301,,,FALSE,German,,,German,,,
Gazzo Virgil R. 1425 Bway,1898_TrowBusMan,955,721,1898_TrowBusMan_721,Restaurants (Marked thus + are oyster saloons.),Restaurant,Gazzo Virgil R. 1425 Bway,16,,Gazzo Virgil R ,1425 Broadway,1425 Bway,Italian,,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,1425,Broadway,Bway,,,,,,Giardini,Deidue,0.868517923,0.879813578,,,FALSE,German,,,German,,,
"Gianchetta Giuseppe, 98 Bayard",1898_TrowBusMan,955,734,1898_TrowBusMan_734,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Gianchetta Giuseppe, 98 Bayard",21,,Gianchetta Giuseppe ,98 Bayard  ,98 Bayard,Italian,,,Italian,Italian,Swiss,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,98,Bayard  ,Bayard,,,,,,Giglio,Silvestro,0.984566954,0.988317301,,,FALSE,German,,,German,,,
"Giardini Deidue, 32 Baxter",1898_TrowBusMan,955,735,1898_TrowBusMan_735,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Giardini Deidue, 32 Baxter",17,,Giardini Deidue ,32 Baxter  ,32 Baxter,Italian,,,Italian,Italian,French,Italian,Italian,Southern Europe,m,m,,m,f,undecided,f,,,N,32,Baxter  ,Baxter,,,,,,Grosseria,Pasquale,0.92147559,0.949497207,,,FALSE,German,,,German,,,
"Giglio Silvestro, 2 Cortlandt",1898_TrowBusMan,955,740,1898_TrowBusMan_740,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Giglio Silvestro, 2 Cortlandt",18,,Giglio Silvestro ,2 Cortlandt  ,2 Cortlandt,Italian,Italian,,Italian,Italian,Spanish,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,2,Cortlandt  ,Cortlandt,,,,,,Italzi,Vincenzo,0.984566954,0.988317301,,,FALSE,German,,,German,,,
"Grosseria Pasquale, 149 Elizabeth",1898_TrowBusMan,956,798,1898_TrowBusMan_798,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Grosseria Pasquale, 149 Elizabeth",20,,Grosseria Pasquale ,149 Elizabeth  ,149 Elizabeth,Italian,,,Italian,Italian,French,Italian,Italian,Southern Europe,m,m,,m,m,m,m,,,N,149,Elizabeth  ,Elizabeth,,,,,,Liguori,Salvatore,0.984566954,0.988317301,,,FALSE,German,,,German,,,
